City,Year,League
"Boston",2002,"NFL"
"Boston",2004,"NFL"
"Boston",2005,"NFL"
"Boston",2015,"NFL"
"Boston",2017,"NFL"
"Boston",2019,"NFL"
"Boston",1957,"NBA"
"Boston",1959,"NBA"
"Boston",1960,"NBA"
"Boston",1961,"NBA"
"Boston",1962,"NBA"
"Boston",1963,"NBA"
"Boston",1964,"NBA"
"Boston",1965,"NBA"
"Boston",1966,"NBA"
"Boston",1968,"NBA"
"Boston",1969,"NBA"
"Boston",1974,"NBA"
"Boston",1976,"NBA"
"Boston",1981,"NBA"
"Boston",1984,"NBA"
"Boston",1986,"NBA"
"Boston",2008,"NBA"
"Boston",1928,"NHL"
"Boston",1938,"NHL"
"Boston",1940,"NHL"
"Boston",1969,"NHL"
"Boston",1971,"NHL"
"Boston",2010,"NHL"
"Boston",1903,"MLB"
"Boston",1912,"MLB"
"Boston",1915,"MLB"
"Boston",1916,"MLB"
"Boston",1918,"MLB"
"Boston",2004,"MLB"
"Boston",2007,"MLB"
"Boston",2013,"MLB"
"Boston",2018,"MLB"
