Rk,Player,Salary,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
1,Derrick Henry*,15441176,TEN,28,RB,16,16,349,1538,13,65,46.7,56,4.4,96.1,6
2,Josh Jacobs*+,2122281,LVR,24,RB,17,17,340,1653,12,93,57.4,86,4.9,97.2,3
3,Nick Chubb*,4213059,CLE,27,RB,17,17,302,1525,12,69,50,41,5,89.7,1
4,Saquon Barkley*,7217000,NYG,25,RB,16,16,295,1312,10,62,47.5,68,4.4,82,1
5,Najee Harris,1253066,PIT,24,RB,17,17,272,1034,7,45,46,36,3.8,60.8,3
6,Dalvin Cook*,8900000,MIN,27,RB,17,17,264,1173,8,50,47.3,81,4.4,69,4
7,Jamaal Williams,4000000,DET,27,RB,17,9,262,1066,17,65,53.1,58,4.1,62.7,3
8,Miles Sanders*,1225941,PHI,25,RB,17,15,259,1269,11,62,56.8,40,4.9,74.6,2
9,Christian McCaffrey*,690000,2TM,26,RB,17,16,244,1139,8,59,48.4,49,4.7,67,1
10,Ezekiel Elliott,12400000,DAL,27,RB,15,14,231,876,12,52,47.6,27,3.8,58.4,0
11,Kenneth Walker III,4024332,SEA,22,RB,15,11,228,1050,9,51,39.9,74,4.6,70,0
12,Alvin Kamara,11500000,NOR,27,RB,15,13,223,897,2,40,52,27,4,59.8,4
13,Travis Etienne,1246278,JAX,23,RB,17,12,220,1125,5,52,50.9,62,5.1,66.2,5
14,Dameon Pierce,1459321,HOU,22,RB,13,13,220,939,4,54,47.7,75,4.3,72.2,4
15,Aaron Jones,5750000,GNB,28,RB,17,17,213,1121,2,54,54.9,36,5.3,65.9,5
16,Tyler Allgeier,1038888,ATL,22,RB,16,7,210,1035,3,53,51.9,44,4.9,64.7,0
17,Joe Mixon,8641176,CIN,26,RB,14,14,210,814,7,47,52.4,40,3.9,58.1,0
18,Rhamondre Stevenson,825000,NWE,24,RB,17,7,210,1040,5,49,45.7,49,5,61.2,4
19,Brian Robinson Jr.,1492909,WAS,23,RB,12,9,205,797,2,49,52.7,24,3.9,66.4,2
20,Austin Ekeler,5500000,LAC,27,RB,17,17,204,915,13,46,48,72,4.5,53.8,5
