City,Year,League
"Boston",2002,"NFL"
"Boston",2004,"NFL"
"Boston",2005,"NFL"
"Boston",2015,"NFL"
"Boston",2017,"NFL"
"Boston",2019,"NFL"
"Boston",1957,"NBA"
"Boston",1959,"NBA"
"Boston",1960,"NBA"
"Boston",1961,"NBA"
"Boston",1962,"NBA"
"Boston",1963,"NBA"
"Boston",1964,"NBA"
"Boston",1965,"NBA"
"Boston",1966,"NBA"
"Boston",1968,"NBA"
"Boston",1969,"NBA"
"Boston",1974,"NBA"
"Boston",1976,"NBA"
"Boston",1981,"NBA"
"Boston",1984,"NBA"
"Boston",1986,"NBA"
"Boston",2008,"NBA"
"Boston",1928,"NHL"
"Boston",1938,"NHL"
"Boston",1940,"NHL"
"Boston",1969,"NHL"
"Boston",1971,"NHL"
"Boston",2010,"NHL"
"Boston",1903,"MLB"
"Boston",1912,"MLB"
"Boston",1915,"MLB"
"Boston",1916,"MLB"
"Boston",1918,"MLB"
"Boston",2004,"MLB"
"Boston",2007,"MLB"
"Boston",2013,"MLB"
"Boston",2018,"MLB"
"NYC",1968,"NFL"
"NYC",1987,"NFL"
"NYC",1991,"NFL"
"NYC",2008,"NFL"
"NYC",2012,"NFL"
"NYC",1970,"NBA"
"NYC",1973,"NBA"
"NYC",1980,"NHL"
"NYC",1981,"NHL"
"NYC",1982,"NHL"
"NYC",1983,"NHL"
"NYC",1928,"NHL"
"NYC",1933,"NHL"
"NYC",1940,"NHL"
"NYC",1994,"NHL"
"NYC",1923,"MLB"
"NYC",1927,"MLB"
"NYC",1928,"MLB"
"NYC",1932,"MLB"
"NYC",1936,"MLB"
"NYC",1937,"MLB"
"NYC",1938,"MLB"
"NYC",1939,"MLB"
"NYC",1941,"MLB"
"NYC",1943,"MLB"
"NYC",1947,"MLB"
"NYC",1949,"MLB"
"NYC",1950,"MLB"
"NYC",1951,"MLB"
"NYC",1952,"MLB"
"NYC",1953,"MLB"
"NYC",1956,"MLB"
"NYC",1958,"MLB"
"NYC",1961,"MLB"
"NYC",1962,"MLB"
"NYC",1977,"MLB"
"NYC",1978,"MLB"
"NYC",1996,"MLB"
"NYC",1998,"MLB"
"NYC",1999,"MLB"
"NYC",2000,"MLB"
"NYC",2009,"MLB"
"NYC",1969,"MLB"
"NYC",1986,"MLB"
