Rk,Player,Salary,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,End
1,Derrick Henry*,15441176,TEN,28,RB,16,16,349,1538,13,65,46.7,56,4.4,96.1,6,All Star
2,Josh Jacobs*+,2122281,LVR,24,RB,17,17,340,1653,12,93,57.4,86,4.9,97.2,3,All Pro
3,Nick Chubb*,4213059,CLE,27,RB,17,17,302,1525,12,69,50,41,5,89.7,1,All Star
4,Saquon Barkley*,7217000,NYG,25,RB,16,16,295,1312,10,62,47.5,68,4.4,82,1,All Star
5,Najee Harris,1253066,PIT,24,RB,17,17,272,1034,7,45,46,36,3.8,60.8,3,None
6,Dalvin Cook*,8900000,MIN,27,RB,17,17,264,1173,8,50,47.3,81,4.4,69,4,All Star
7,Jamaal Williams,4000000,DET,27,RB,17,9,262,1066,17,65,53.1,58,4.1,62.7,3,None
8,Miles Sanders*,1225941,PHI,25,RB,17,15,259,1269,11,62,56.8,40,4.9,74.6,2,All Star
9,Christian McCaffrey*,690000,2TM,26,RB,17,16,244,1139,8,59,48.4,49,4.7,67,1,All Star
10,Ezekiel Elliott,12400000,DAL,27,RB,15,14,231,876,12,52,47.6,27,3.8,58.4,0,None
11,Kenneth Walker III,4024332,SEA,22,RB,15,11,228,1050,9,51,39.9,74,4.6,70,0,None
12,Alvin Kamara,11500000,NOR,27,RB,15,13,223,897,2,40,52,27,4,59.8,4,None
13,Travis Etienne,1246278,JAX,23,RB,17,12,220,1125,5,52,50.9,62,5.1,66.2,5,None
14,Dameon Pierce,1459321,HOU,22,RB,13,13,220,939,4,54,47.7,75,4.3,72.2,4,None
15,Aaron Jones,5750000,GNB,28,RB,17,17,213,1121,2,54,54.9,36,5.3,65.9,5,None
16,Tyler Allgeier,1038888,ATL,22,RB,16,7,210,1035,3,53,51.9,44,4.9,64.7,0,None
17,Joe Mixon,8641176,CIN,26,RB,14,14,210,814,7,47,52.4,40,3.9,58.1,0,None
18,Rhamondre Stevenson,825000,NWE,24,RB,17,7,210,1040,5,49,45.7,49,5,61.2,4,None
19,Brian Robinson Jr.,1492909,WAS,23,RB,12,9,205,797,2,49,52.7,24,3.9,66.4,2,None
20,Austin Ekeler,5500000,LAC,27,RB,17,17,204,915,13,46,48,72,4.5,53.8,5,None
21,D'Onta Foreman,2000000,CAR,26,RB,17,9,203,914,5,45,48.8,60,4.5,53.8,1,None
22,David Montgomery,2790000,CHI,25,RB,16,16,201,801,5,41,44.8,28,4,50.1,2,None
23,Tony Pollard*,965000,DAL,25,RB,16,4,193,1007,9,46,47.7,57,5.2,62.9,0,None
24,Jonathan Taylor,1321742,IND,23,RB,11,11,192,861,4,39,48.4,66,4.5,78.3,3,None
25,Leonard Fournette,6970588,TAM,27,RB,16,9,189,668,3,39,49.2,23,3.5,41.8,0,None
26,Cam Akers,1171186,LAR,23,RB,15,9,188,786,7,39,52.7,42,4.2,52.4,2,None
27,AJ Dillon,1090530,GNB,24,RB,17,3,186,770,7,47,56.5,27,4.1,45.3,1,None
28,James Conner,7945000,ARI,27,RB,13,13,183,782,7,48,55.2,23,4.3,60.2,3,None
29,Raheem Mostert,3113235,MIA,30,RB,16,14,181,891,3,44,55.2,67,4.9,55.7,1,None
30,Devin Singletary,2540000,BUF,25,RB,16,16,177,819,5,43,52.5,33,4.6,51.2,3,None
31,Jeff Wilson,575000,2TM,27,RB,16,7,176,860,5,43,50,41,4.9,53.8,3,None
32,Latavius Murray,"$871,111",2TM,32,RB,13,7,171,760,6,44,53.8,52,4.4,58.5,1,None
33,Isiah Pacheco,"$784,108",KAN,23,RB,17,11,170,830,5,37,57.1,31,4.9,48.8,4,None
36,Antonio Gibson,"$1,058,422",WAS,24,RB,15,6,149,546,3,32,49.7,20,3.7,36.4,1,None
37,Cordarrelle Patterson,"$6,250,000",ATL,31,RB,13,11,144,695,8,39,60.4,40,4.8,53.5,1,None
38,Khalil Herbert,"$722,223",CHI,24,RB,13,1,129,731,4,26,47.3,63,5.7,56.2,0,None
39,Rachaad White,"$1,615,908",TAM,23,RB,17,8,129,481,1,27,49.6,35,3.7,28.3,3,None
41,Kareem Hunt,"$6,250,000",CLE,27,RB,17,0,123,468,3,30,48,24,3.8,27.5,1,None
43,Michael Carter,"$825,000",NYJ,23,RB,16,10,114,402,3,14,42.1,25,3.5,25.1,2,None
45,James Robinson,"$546,944",2TM,24,RB,11,5,110,425,3,22,35.5,50,3.9,38.6,1,None
46,Kenyan Drake,"$1,035,000",BAL,28,RB,12,5,109,482,4,21,45,40,4.4,40.2,1,None
47,Damien Harris,"$965,000",NWE,25,RB,11,9,106,462,3,23,50,30,4.4,42,0,None
48,D'Andre Swift,"$1,386,266",DET,23,RB,14,8,99,542,5,21,47.5,50,5.5,38.7,1,None
50,Chuba Hubbard,"$825,000",CAR,23,RB,15,2,95,466,2,23,45.3,35,4.9,31.1,2,None
51,Samaje Perine,"$1,500,000",CIN,27,RB,16,2,95,394,2,19,49.5,29,4.1,24.6,0,None
52,Zack Moss,"$543,750",2TM,25,RB,13,3,93,456,1,18,47.3,43,4.9,35.1,1,None
53,J.K. Dobbins,"$1,130,858",BAL,24,RB,8,8,92,520,2,26,57.6,44,5.7,65,0,None
54,Melvin Gordon,"$119,400",DEN,29,RB,10,6,90,318,2,15,50,17,3.5,31.8,5,None
55,James Cook,"$2,126,500",BUF,23,RB,16,0,89,507,2,25,50.6,33,5.7,31.7,1,None
56,Gus Edwards,"$3,250,000",BAL,27,RB,9,4,87,433,3,30,59.8,37,5,48.1,1,None
